Z,N,A,dataset_split,participates_in_loss,train_uncertainty,pred_residual,pred_binding_energy,actual_binding_energy,theory_binding_energy,actual_residual,pred_minus_actual_residual
8,8,16,train,True,3.2e-06,-0.05850509712705389,127.30730728218565,127.61931610107422,127.2488021850586,-0.37051519751548767,0.3120101003884338
8,9,17,train,True,3.4e-06,0.4669014889001846,131.5020926517248,131.76239013671875,131.968994140625,0.20660530030727386,0.26029618859291076
9,8,17,train,True,0.0002482,0.4106447108834982,127.95645123638212,128.21958923339844,128.36709594726562,0.14751720428466797,0.2631275065988302
8,10,18,train,True,3.6e-06,0.7778873339295387,139.70300866216422,139.80776977539062,140.48089599609375,0.6731342077255249,0.10475312620401378
9,9,18,train,True,0.0004626,0.6506417459249496,137.6667563253641,137.36949157714844,138.31739807128906,0.9479106068611145,-0.2972688609361649
10,8,18,train,True,0.0003636,0.5509934212267399,132.0993056510389,132.14263916015625,132.65029907226562,0.5076614022254944,0.0433320190012455
8,11,19,train,True,0.0026372,0.6236388859152794,143.60745547443628,143.76341247558594,144.23109436035156,0.46769121289253235,0.15594767302274704
9,10,19,train,True,3.8e-06,0.7218917253613472,147.87721410959958,147.80136108398438,148.59910583496094,0.7977352142333984,-0.07584348887205128
10,9,19,train,True,0.0001596,0.6374996896088123,143.95080292269589,143.77952575683594,144.5883026123047,0.808781087398529,-0.17128139778971674
11,8,19,train,True,0.0105355,-0.09252228457480668,131.75042023379356,131.81983947753906,131.65789794921875,-0.16194160282611847,0.06941931825131178
8,12,20,train,True,0.000884,0.6574605947732926,151.2442422860861,151.3714141845703,151.90170288085938,0.5302860140800476,0.12717458069324494
9,11,20,train,True,3e-05,-0.06800785382743925,154.41351261456964,154.40269470214844,154.3455047607422,-0.05720200017094612,-0.010805853656493128
10,10,20,train,True,4e-06,-0.55606092274189,160.7839661961794,160.6448211669922,160.2279052734375,-0.41692399978637695,-0.13913692295551305
11,9,20,train,True,0.001108,-0.23317476857453584,145.95097872365267,145.97006225585938,145.71780395507812,-0.25225600600242615,0.019081237427890307
12,8,20,train,True,0.001862,-0.28167114906013013,134.40186463050543,134.5605010986328,134.1201934814453,-0.4403040111064911,0.15863286204636096
8,13,21,train,True,0.0119994,0.3919949561357498,155.05000638663768,155.17686462402344,155.44200134277344,0.26513129472732544,0.12686366140842437
9,12,21,train,True,0.0017997,0.5933714754879474,162.52932444736362,162.50416564941406,163.12269592285156,0.6185386180877686,-0.025167142599821113
10,11,21,train,True,3.78e-05,-0.6817944055795669,167.67129635870458,167.40599060058594,166.989501953125,-0.41648560762405396,-0.265308797955513
11,10,21,train,True,4.2e-05,-0.5257801285386086,163.1286854019761,163.07672119140625,162.6029052734375,-0.4738200902938843,-0.05196003824472428
12,9,21,train,True,0.0007539,-0.11173450981732458,149.5062352422392,149.20567321777344,149.39450073242188,0.1888342946767807,-0.3005688044941053
