Z,N,A,pred_residual,pred_binding_energy,actual_binding_energy,theory_binding_energy,actual_residual,pred_minus_actual_residual
8,8,16,-5.528157389163971,127.56651035547256,127.61931610107422,122.0383529663086,-5.5809645652771,0.05280717611312902
8,9,17,-3.485366928577423,131.93841563463212,131.76239013671875,128.4530487060547,-3.309343099594116,-0.1760238289833067
9,8,17,-3.4884643065929413,128.51093287348746,128.21958923339844,125.02246856689453,-3.1971118450164795,-0.2913524615764618
8,10,18,-1.5906195628643036,139.78053045153618,139.80776977539062,138.18991088867188,-1.6178584098815918,0.02723884701728818
9,9,18,-0.16002397547475994,137.11023454676382,137.36949157714844,136.95021057128906,-0.41928499937057495,0.259261023895815
10,8,18,-1.0202721181511878,132.01462636619806,132.14263916015625,130.99435424804688,-1.1482809782028198,0.12800886005163203
8,11,19,-1.2111515927314758,143.7014622616768,143.76341247558594,142.4903106689453,-1.2730963230133057,0.061944730281829896
9,10,19,-0.4545457746088505,147.7336595441401,147.80136108398438,147.27911376953125,-0.5222533941268921,0.0677076195180416
10,9,19,-0.13739443474914878,143.65488100701478,143.77952575683594,143.51748657226562,-0.26203274726867676,0.12463831251952798
11,8,19,-0.38063942559063435,131.52723061211407,131.81983947753906,131.14659118652344,-0.6732428073883057,0.2926033817976713
8,12,20,-1.321718048453331,151.36427481114865,151.3714141845703,150.0425567626953,-1.3288507461547852,0.007132697701454083
9,11,20,-0.31086623296141624,154.24888503178954,154.40269470214844,153.93801879882812,-0.4646805226802826,0.15381428971886635
10,10,20,-1.5521203094720841,160.61167536318302,160.6448211669922,159.05955505371094,-1.5852619409561157,0.0331416314840316
11,9,20,0.19900420766323804,145.83545013803987,145.97006225585938,146.03445434570312,0.06439869850873947,0.13460550915449856
12,8,20,0.08756451405584813,134.14592547617852,134.5605010986328,134.23348999023438,-0.32700905203819275,0.4145735660940409
8,13,21,-2.370329042673111,154.98350348114968,155.17686462402344,152.61317443847656,-2.563690185546875,0.19336114287376382
9,12,21,-0.6566021794080734,162.68527344405652,162.50416564941406,162.02867126464844,-0.4754882752895355,-0.1811139041185379
10,11,21,-0.9130565041303634,167.1884318703413,167.40599060058594,166.27537536621094,-1.130616545677185,0.21756004154682163
11,10,21,-0.7993820418417453,162.93571932211518,163.07672119140625,162.13633728027344,-0.9403873085975647,0.14100526675581937
12,9,21,0.18343446481507272,149.485037825224,149.20567321777344,149.66847229003906,0.46280190348625183,-0.2793674386711791
8,14,22,-3.8824919378757476,162.26061998963357,162.02719116210938,158.3781280517578,-3.6490564346313477,-0.2334355032444
9,13,22,-0.9136366939544678,167.70352316856383,167.7344970703125,166.78988647460938,-0.944616436958313,0.030979743003845206
10,12,22,-1.1901618924736976,177.82300491005182,177.77024841308594,176.63284301757812,-1.1374013423919678,-0.05276055008172986
11,11,22,-0.18063855097512715,174.363713502147,174.1445770263672,174.18307495117188,0.038502421230077744,-0.2191409722052049
12,10,22,-0.5526449744403362,168.5952627722919,168.58082580566406,168.04261779785156,-0.5382078289985657,-0.01443714544177055
8,15,23,-5.577697761058808,165.09692383527755,164.76016235351562,159.51922607421875,-5.240944862365723,-0.336752898693085
9,14,23,-2.336835652589798,175.37505891919136,175.31393432617188,173.03822326660156,-2.2757086753845215,-0.06112697720527649
10,13,23,-1.0267811641097069,182.9290486201644,182.97088623046875,181.9022674560547,-1.0686193704605103,0.041838206350803375
11,12,23,-1.1895754739642144,186.25427273958923,186.56434631347656,185.064697265625,-1.4996569156646729,0.3100814417004585
12,11,23,-0.9993601974844932,181.61541854709387,181.725830078125,180.61605834960938,-1.1097668409347534,0.11040664345026019
13,10,23,0.07760483430232852,168.42358535124455,168.7217254638672,168.50119018554688,-0.22054827213287354,0.29815310643520204
