Nuclide,Element,Z,N,A,BE_exp_MeV,sigma_exp_MeV,sigma_exp_keV
85Ga,Ga,31,54,85,701.5533395,0.037264,37.264
63Ge,Ge,32,31,63,530.3791521,0.0372582,37.2582
64Ge,Ge,32,32,64,545.8447552,0.0037248,3.7248
65Ge,Ge,32,33,65,556.078796,0.0021645,2.1645
66Ge,Ge,32,34,66,569.2789278,0.0024024,2.4024
67Ge,Ge,32,35,67,578.4169228,0.0043215,4.321499999999999
68Ge,Ge,32,36,68,590.7933228,0.0018768,1.8768
69Ge,Ge,32,37,69,598.986516,0.0013179,1.3179
70Ge,Ge,32,38,70,610.519196,0.000819,0.819
71Ge,Ge,32,39,71,617.9351378,0.0008165,0.8165
72Ge,Ge,32,40,72,628.6857048,7.92e-05,0.0792
73Ge,Ge,32,41,73,635.46865,5.84e-05,0.0584
74Ge,Ge,32,42,74,645.6648814,2.22e-05,0.0222
75Ge,Ge,32,43,75,652.17072,5.25e-05,0.0525
76Ge,Ge,32,44,76,661.5979664,2.28e-05,0.0228
77Ge,Ge,32,45,77,667.6692561,5.39e-05,0.0539
78Ge,Ge,32,46,78,676.3897608,0.0035334,3.5334
79Ge,Ge,32,47,79,682.1262031,0.0371616,37.1616
80Ge,Ge,32,48,80,690.205656,0.002056,2.056
81Ge,Ge,32,49,81,695.0333547,0.0020574,2.0574
82Ge,Ge,32,50,82,702.2280494,0.0022386,2.2386
83Ge,Ge,32,51,83,705.8607346,0.0024236,2.4236
84Ge,Ge,32,52,84,711.1040496,0.0031668,3.1668
85Ge,Ge,32,53,85,714.1503565,0.0037315,3.7315
86Ge,Ge,32,54,86,718.49818,0.4378002,437.8002
65As,As,33,32,65,545.7552815,0.0847665,84.7665
66As,As,33,33,66,558.9146244,0.0056826,5.682600000000001
67As,As,33,34,67,571.5480895,0.0004422,0.4422
68As,As,33,35,68,581.9267076,0.0018428,1.8428
69As,As,33,36,69,594.2156766,0.0320022,32.0022
70As,As,33,37,70,603.508787,0.0014,1.4
71As,As,33,38,71,615.139385,0.0041606,4.160600000000001
72As,As,33,39,72,623.5472592,0.0040824,4.0824
73As,As,33,40,73,634.3415227,0.0038544,3.8544
74As,As,33,41,74,642.320148,0.0016946,1.6946
75As,As,33,42,75,652.56561,0.000885,0.885
76As,As,33,43,76,659.8941072,0.0008892,0.8892
77As,As,33,44,77,669.5903753,0.001694,1.694
78As,As,33,45,78,676.562328,0.0097812,9.7812
79As,As,33,46,79,685.4527588,0.0053246,5.324599999999999
80As,As,33,47,80,692.102592,0.003336,3.336
81As,As,33,48,81,700.4926251,0.0026406,2.6406
82As,As,33,49,82,706.1360546,0.003731,3.731
83As,As,33,50,83,713.771282,0.0027971,2.7971
84As,As,33,51,84,718.026834,0.0031668,3.1668
85As,As,33,52,85,723.4337335,0.003077,3.077
86As,As,33,53,86,727.278049,0.0034486,3.4486
87As,As,33,54,87,732.0051327,0.0029841,2.9841
67Se,Se,34,33,67,560.7588048,0.067067,67.06700000000001
68Se,Se,34,34,68,576.4392776,0.0004964,0.4964
69Se,Se,34,35,69,586.7558658,0.0014904,1.4904
70Se,Se,34,36,70,600.322366,0.001582,1.582
71Se,Se,34,37,71,609.6103026,0.0027974,2.7974
72Se,Se,34,38,72,622.4032944,0.0019584,1.9584
73Se,Se,34,39,73,630.8338143,0.0074241,7.4241
74Se,Se,34,40,74,642.890947,2.22e-05,0.0222
75Se,Se,34,41,75,650.9185425,7.5e-05,0.075
76Se,Se,34,42,76,662.0723356,2.28e-05,0.0228
77Se,Se,34,43,77,669.4911916,6.16e-05,0.06160000000000001
78Se,Se,34,44,78,679.9889616,0.0001794,0.1794
79Se,Se,34,45,79,686.9517917,0.0002212,0.2212
80Se,Se,34,46,80,696.865136,0.000944,0.944
81Se,Se,34,47,81,703.5659838,0.0009801,0.9801
82Se,Se,34,48,82,712.8421786,0.0004674,0.4674
83Se,Se,34,49,83,718.660148,0.0030378,3.0378
84Se,Se,34,50,84,727.338654,0.0019572,1.9572
85Se,Se,34,51,85,731.8758825,0.0026095,2.6095
86Se,Se,34,52,86,738.0367264,0.0025198,2.5198
87Se,Se,34,53,87,742.031004,0.0022446,2.2446
88Se,Se,34,54,88,747.560396,0.0033616,3.3616
89Se,Se,34,55,89,750.7399111,0.0037291,3.7291
90Se,Se,34,56,90,755.619048,0.329751,329.751
91Se,Se,34,57,91,758.4702762,0.4331418,433.1418
69Br,Br,35,34,69,575.7982794,0.0420003,42.0003
70Br,Br,35,35,70,589.035748,0.014903,14.903
71Br,Br,35,36,71,602.1838659,0.0054031,5.4031
72Br,Br,35,37,72,612.8145072,0.0010224,1.0224
73Br,Br,35,38,73,625.4698619,0.0067379,6.7379
74Br,Br,35,39,74,635.183551,0.0058386,5.8386
75Br,Br,35,40,75,647.0737275,0.0042825,4.2825
76Br,Br,35,41,76,656.327108,0.0093252,9.3252
77Br,Br,35,42,77,667.3441621,0.0028105,2.8105
78Br,Br,35,43,78,675.6328332,0.0035802,3.5802
79Br,Br,35,44,79,686.3200524,0.0010033,1.0033
80Br,Br,35,45,80,694.212328,0.000992,0.992
81Br,Br,35,46,81,704.3716665,0.0009801,0.9801
82Br,Br,35,47,82,711.9646146,0.0009676,0.9676
83Br,Br,35,48,83,721.5509716,0.0037931,3.7931
84Br,Br,35,49,84,728.3916696,0.0257292,25.7292
85Br,Br,35,50,85,737.255371,0.003077,3.077
86Br,Br,35,51,86,742.3834674,0.0030788,3.0788
87Br,Br,35,52,87,748.7142135,0.0031668,3.1668
88Br,Br,35,53,88,753.6098152,0.003168,3.168
89Br,Br,35,54,89,759.2394378,0.0032663,3.2663
90Br,Br,35,55,90,763.036785,0.003357,3.357
91Br,Br,35,56,91,768.2151022,0.0035399,3.5399
92Br,Br,35,57,92,771.4119316,0.0067068,6.706799999999999
93Br,Br,35,58,93,776.1406698,0.4308132,430.8132
71Kr,Kr,36,35,71,591.226301,0.1287656,128.7656
72Kr,Kr,36,36,72,606.9109896,0.0080136,8.013599999999999
73Kr,Kr,36,37,73,617.5934831,0.0065773,6.5773
74Kr,Kr,36,38,74,631.444886,0.0020128,2.0128
75Kr,Kr,36,39,75,641.5079925,0.0081075,8.1075
76Kr,Kr,36,40,76,654.2693852,0.0040128,4.0128
77Kr,Kr,36,41,77,663.496449,0.0019558,1.9558
78Kr,Kr,36,42,78,675.576603,0.0003042,0.3042
79Kr,Kr,36,43,79,683.911927,0.0034839,3.4839
80Kr,Kr,36,44,80,695.434408,0.000696,0.696
81Kr,Kr,36,45,81,703.3084686,0.0010773,1.0773
82Kr,Kr,36,46,82,714.2753828,2.46e-05,0.0246
83Kr,Kr,36,47,83,721.7455485,2.49e-05,0.0249
84Kr,Kr,36,48,84,732.2655732,2.52e-05,0.0252
85Kr,Kr,36,49,85,739.3778805,0.0019975,1.9975
86Kr,Kr,36,50,86,749.234537,2.58e-05,0.0258
87Kr,Kr,36,51,87,754.749708,0.0002436,0.2436
88Kr,Kr,36,52,88,761.8027912,0.0026048,2.6048
89Kr,Kr,36,53,89,766.7186062,0.0021449,2.1449
90Kr,Kr,36,54,90,773.213391,0.001863,1.863
91Kr,Kr,36,55,91,777.2994229,0.0022386,2.2386
92Kr,Kr,36,56,92,783.1661,0.0027048,2.7048
93Kr,Kr,36,57,93,786.6040905,0.002511,2.511
94Kr,Kr,36,58,94,791.8871892,0.0121072,12.1072
95Kr,Kr,36,59,95,794.7696485,0.0186295,18.6295
96Kr,Kr,36,60,96,799.7637216,0.0192768,19.2768
97Kr,Kr,36,61,97,802.1768565,0.1304068,130.4068
73Rb,Rb,37,36,73,606.2709933,0.0407924,40.7924
74Rb,Rb,37,37,74,620.2467102,0.0030266,3.0266
75Rb,Rb,37,38,75,633.620715,0.0011775,1.1775
76Rb,Rb,37,39,76,644.9524236,0.0009348,0.9348
77Rb,Rb,37,40,77,657.3751492,0.0013013,1.3013
78Rb,Rb,37,41,78,667.5513936,0.003237,3.237
79Rb,Rb,37,42,79,679.4900679,0.0019434,1.9434
80Rb,Rb,37,43,80,688.93408,0.001864,1.864
81Rb,Rb,37,44,81,700.2866259,0.0049005,4.9005
82Rb,Rb,37,45,82,709.089055,0.0030094,3.0094
83Rb,Rb,37,46,83,720.0432019,0.0023323,2.3323
84Rb,Rb,37,47,84,728.8028496,0.0021924,2.1924
85Rb,Rb,37,48,85,739.282536,2.55e-05,0.0255
86Rb,Rb,37,49,86,747.9335204,0.0001978,0.1978
87Rb,Rb,37,50,87,757.8556341,2.61e-05,0.0261
88Rb,Rb,37,51,88,763.9381552,0.0001584,0.1584
89Rb,Rb,37,52,89,771.1128655,0.005429,5.428999999999999
90Rb,Rb,37,53,90,776.837358,0.006453,6.453
91Rb,Rb,37,54,91,783.2881511,0.0077987,7.7987
92Rb,Rb,37,55,92,788.38687,0.0061272,6.1272
93Rb,Rb,37,56,93,794.3056437,0.0078306,7.8306
94Rb,Rb,37,57,94,798.3198536,0.0020304,2.0304
95Rb,Rb,37,58,95,803.7186865,0.0202445,20.2445
96Rb,Rb,37,59,96,807.2540448,0.0033504,3.3504
97Rb,Rb,37,60,97,812.4901584,0.0019109,1.9109
98Rb,Rb,37,61,98,816.4114812,0.0160818,16.0818
99Rb,Rb,37,62,99,821.234799,0.0040293,4.0293
100Rb,Rb,37,63,100,824.45085,0.01312,13.12
101Rb,Rb,37,64,101,828.8237053,0.0204929,20.4929
102Rb,Rb,37,65,102,831.5799186,0.0829056,82.90559999999999
75Sr,Sr,38,37,75,622.23837,0.220005,220.005
76Sr,Sr,38,38,76,637.9386344,0.034466,34.46599999999999
77Sr,Sr,38,39,77,649.5657476,0.0079156,7.9156
78Sr,Sr,38,40,78,663.0075738,0.007449,7.449
79Sr,Sr,38,41,79,673.3846082,0.0074181,7.418100000000001
80Sr,Sr,38,42,80,686.287728,0.003464,3.464
81Sr,Sr,38,43,81,695.5757145,0.0031266,3.1266
82Sr,Sr,38,44,82,708.128958,0.0059942,5.9942
83Sr,Sr,38,45,83,716.9878308,0.0068309,6.8309
84Sr,Sr,38,46,84,728.9111088,0.0012432,1.2432
85Sr,Sr,38,47,85,737.4361405,0.0028135,2.8135
86Sr,Sr,38,48,86,748.9272676,2.58e-05,0.0258
87Sr,Sr,38,49,87,757.3555581,2.61e-05,0.0261
88Sr,Sr,38,50,88,768.4684304,2.64e-05,0.0264
89Sr,Sr,38,51,89,774.827147,9.79e-05,0.0979
90Sr,Sr,38,52,90,782.640387,0.001449,1.449
91Sr,Sr,38,53,91,788.4127069,0.0054509,5.4509
92Sr,Sr,38,54,92,795.699444,0.0034224,3.4224
93Sr,Sr,38,55,93,800.9892375,0.0075516,7.551600000000001
94Sr,Sr,38,56,94,807.8204336,0.0016638,1.6638
95Sr,Sr,38,57,95,812.1633125,0.005814,5.814
96Sr,Sr,38,58,96,818.0355936,0.0084672,8.4672
97Sr,Sr,38,59,97,821.7693433,0.0033853,3.3853
98Sr,Sr,38,60,98,827.682373,0.0032242,3.2242
99Sr,Sr,38,61,99,831.8498265,0.0047421,4.7421
100Sr,Sr,38,62,100,837.22012,0.00692,6.92
101Sr,Sr,38,63,101,840.7988511,0.008484,8.484
102Sr,Sr,38,64,102,845.7045726,0.067065,67.065
79Y,Y,39,40,79,664.9255252,0.080106,80.106
80Y,Y,39,41,80,676.342072,0.00624,6.24
81Y,Y,39,42,81,688.9781511,0.0054027,5.4027
82Y,Y,39,43,82,699.4006484,0.0055022,5.502199999999999
83Y,Y,39,44,83,711.6135393,0.0186335,18.6335
84Y,Y,39,45,84,721.3736208,0.0043008,4.3008
85Y,Y,39,46,85,733.392631,0.0189635,18.9635
86Y,Y,39,47,86,742.9049198,0.0141384,14.1384
87Y,Y,39,48,87,754.7115237,0.001131,1.131
88Y,Y,39,49,88,764.0634848,0.001496,1.496
89Y,Y,39,50,89,775.546979,0.0003382,0.3382
90Y,Y,39,51,90,782.404002,0.000351,0.351
91Y,Y,39,52,91,790.3297311,0.0018473,1.8473
92Y,Y,39,53,92,796.8662248,0.0091264,9.1264
93Y,Y,39,54,93,804.3482022,0.0104904,10.4904
94Y,Y,39,55,94,810.5438392,0.0063826,6.3826
95Y,Y,39,56,95,817.471618,0.006783,6.783
96Y,Y,39,57,96,822.6649824,0.0060768,6.0768
97Y,Y,39,58,97,828.5217752,0.0067124,6.712400000000001
98Y,Y,39,59,98,832.7663876,0.0079184,7.918400000000001
99Y,Y,39,60,99,839.1926862,0.0066132,6.6132
100Y,Y,39,61,100,843.94151,0.01118,11.18
101Y,Y,39,62,101,849.7463805,0.0070801,7.0801
102Y,Y,39,63,102,853.9355544,0.00408,4.08
103Y,Y,39,64,103,859.2912608,0.0112064,11.2064
81Zr,Zr,40,41,81,680.0073039,0.0922185,92.21849999999999
82Zr,Zr,40,42,82,694.1682612,0.0015826,1.5826
83Zr,Zr,40,43,83,704.5371751,0.0064325,6.4325
84Zr,Zr,40,44,84,718.1185284,0.005502,5.502
85Zr,Zr,40,45,85,727.943349,0.006426,6.426
86Zr,Zr,40,46,86,740.8084978,0.003569,3.569
87Zr,Zr,40,47,87,750.2579415,0.0041499,4.1499
88Zr,Zr,40,48,88,762.6109832,0.0054032,5.4032
89Zr,Zr,40,49,89,771.9313985,0.0027768,2.7768
90Zr,Zr,40,50,90,783.897291,0.000117,0.117
91Zr,Zr,40,51,91,791.0916559,0.0001001,0.1001
92Zr,Zr,40,52,92,799.7264036,0.0001012,0.1012
93Zr,Zr,40,53,93,806.4607251,0.0004557,0.4557
94Zr,Zr,40,54,94,814.6793504,0.0001692,0.1692
95Zr,Zr,40,55,95,821.141278,0.000874,0.874
96Zr,Zr,40,56,96,828.9915168,0.0001152,0.1152
97Zr,Zr,40,57,97,834.5606654,0.0001261,0.1261
98Zr,Zr,40,58,98,840.9770432,0.0084476,8.4476
99Zr,Zr,40,59,99,845.383275,0.0105039,10.5039
100Zr,Zr,40,60,100,852.21066,0.00814,8.139999999999999
101Zr,Zr,40,61,101,857.0702339,0.0083325,8.3325
102Zr,Zr,40,62,102,863.561988,0.0087618,8.761800000000001
103Zr,Zr,40,63,103,867.8608711,0.0092185,9.218499999999999
104Zr,Zr,40,64,104,873.8408536,0.0093184,9.318399999999999
105Zr,Zr,40,65,105,877.65279,0.0121065,12.1065
83Nb,Nb,41,42,83,695.4560787,0.1620824,162.0824
84Nb,Nb,41,43,84,707.1083292,0.0004032,0.4032
85Nb,Nb,41,44,85,720.2654945,0.004097,4.097
86Nb,Nb,41,45,86,731.1911866,0.0054954,5.4954
87Nb,Nb,41,46,87,744.0029373,0.0068034,6.8034
88Nb,Nb,41,47,88,754.3713144,0.0578072,57.8072
89Nb,Nb,41,48,89,766.8968376,0.0236295,23.6295
90Nb,Nb,41,49,90,777.00393,0.003321,3.321
91Nb,Nb,41,50,91,789.0517453,0.0029302,2.9302
92Nb,Nb,41,51,92,796.9383252,0.0017848,1.7848
93Nb,Nb,41,52,93,805.7691957,0.001488,1.488
94Nb,Nb,41,53,94,812.9967316,0.0014946,1.4946
95Nb,Nb,41,54,95,821.4852635,0.000513,0.513
96Nb,Nb,41,55,96,828.3731328,0.000144,0.144
97Nb,Nb,41,56,97,836.4444248,0.0042486,4.2486
98Nb,Nb,41,57,98,842.4375568,0.004998,4.998
99Nb,Nb,41,58,99,849.3196041,0.0120087,12.0087
100Nb,Nb,41,59,100,854.84683,0.00798,7.98
101Nb,Nb,41,60,101,862.0183855,0.0037471,3.7471
102Nb,Nb,41,61,102,867.496485,0.0025092,2.5092
103Nb,Nb,41,62,103,874.298196,0.0039346,3.9346
104Nb,Nb,41,63,104,879.1518528,0.0017888,1.7888
105Nb,Nb,41,64,105,885.3277125,0.004032,4.032
106Nb,Nb,41,65,106,889.6861642,0.0014204,1.4204
107Nb,Nb,41,66,107,895.2786086,0.008025,8.024999999999999
108Nb,Nb,41,67,108,899.1713232,0.0082404,8.2404
109Nb,Nb,41,68,109,904.3872463,0.4308116,430.8116
110Nb,Nb,41,69,110,908.078677,0.838343,838.343
85Mo,Mo,42,43,85,710.71322,0.0158355,15.8355
86Mo,Mo,42,44,86,725.385705,0.0029326,2.9326
87Mo,Mo,42,45,87,736.2309141,0.0028536,2.8536
88Mo,Mo,42,46,88,750.1039656,0.0038192,3.8192
89Mo,Mo,42,47,89,760.5036739,0.003916,3.916
90Mo,Mo,42,48,90,773.732565,0.003465,3.465
91Mo,Mo,42,49,91,783.8402026,0.0062426,6.2426
92Mo,Mo,42,50,92,796.5112704,0.0001564,0.1564
93Mo,Mo,42,51,93,804.5810835,0.000186,0.186
94Mo,Mo,42,52,94,814.2594054,0.000141,0.141
95Mo,Mo,42,53,95,821.628514,0.0001235,0.1235
96Mo,Mo,42,54,96,830.782848,0.0001248,0.1248
97Mo,Mo,42,55,97,837.6039822,0.0001649,0.1649
98Mo,Mo,42,56,98,846.2465718,0.0001764,0.1764
99Mo,Mo,42,57,99,852.1720218,0.0002277,0.2277
100Mo,Mo,42,58,100,860.46626,0.0003,0.3
101Mo,Mo,42,59,101,865.8645059,0.0003131,0.3131
102Mo,Mo,42,60,102,873.9767388,0.0083028,8.302800000000001
103Mo,Mo,42,61,103,879.4415216,0.0092185,9.218499999999999
104Mo,Mo,42,62,104,886.9022552,0.0089128,8.9128
105Mo,Mo,42,63,105,891.960615,0.009051,9.051
106Mo,Mo,42,64,106,898.8291412,0.0091266,9.1266
107Mo,Mo,42,65,107,903.317433,0.0092234,9.2234
108Mo,Mo,42,66,108,909.5930748,0.0092232,9.2232
109Mo,Mo,42,67,109,913.5743767,0.0111834,11.1834
110Mo,Mo,42,68,110,919.52223,0.024222,24.222
111Mo,Mo,42,69,111,922.9975452,0.0125763,12.5763
87Tc,Tc,43,44,87,726.2538063,0.0041934,4.1934
88Tc,Tc,43,45,88,738.3053744,0.0041008,4.1008
89Tc,Tc,43,46,89,752.1012462,0.0038181,3.8181
90Tc,Tc,43,47,90,763.5024,0.001026,1.026
91Tc,Tc,43,48,91,776.8356778,0.002366,2.366
92Tc,Tc,43,49,92,787.846048,0.0031004,3.1004
93Tc,Tc,43,50,93,800.5977726,0.0010137,1.0137
94Tc,Tc,43,51,94,809.2213062,0.0040702,4.070200000000001
95Tc,Tc,43,52,95,819.1556545,0.0050825,5.0825
96Tc,Tc,43,53,96,827.0272608,0.0051456,5.1456
97Tc,Tc,43,54,97,836.5013638,0.0041225,4.1225
98Tc,Tc,43,55,98,843.7804606,0.003381,3.381
99Tc,Tc,43,56,99,852.7474395,0.0009108,0.9108
100Tc,Tc,43,57,100,859.51184,0.00135,1.35
101Tc,Tc,43,58,101,867.9067966,0.0240077,24.0077
102Tc,Tc,43,59,102,874.2064428,0.0091698,9.1698
103Tc,Tc,43,60,103,882.3087635,0.0098056,9.8056
104Tc,Tc,43,61,104,888.275128,0.0248872,24.8872
105Tc,Tc,43,62,105,896.133777,0.035259,35.259
106Tc,Tc,43,63,106,901.695042,0.0122536,12.2536
107Tc,Tc,43,64,107,908.7400753,0.0086777,8.6777
108Tc,Tc,43,65,108,913.9842576,0.0087696,8.7696
109Tc,Tc,43,66,109,920.4155764,0.0096683,9.6683
110Tc,Tc,43,67,110,925.238633,0.009493,9.493
111Tc,Tc,43,68,111,931.3000566,0.0105783,10.5783
112Tc,Tc,43,69,112,935.6056304,0.0055104,5.510400000000001
113Tc,Tc,43,70,113,941.2295676,0.0033561,3.3561
114Tc,Tc,43,71,114,945.0896286,0.433143,433.143
89Ru,Ru,44,45,89,742.293464,0.0242169,24.2169
90Ru,Ru,44,46,90,756.879156,0.003726,3.726
91Ru,Ru,44,47,91,768.3065117,0.0022204,2.2204
92Ru,Ru,44,48,92,782.439208,0.002714,2.714
93Ru,Ru,44,49,93,793.4260311,0.0020646,2.0646
94Ru,Ru,44,50,94,806.864228,0.0031396,3.1396
95Ru,Ru,44,51,95,815.809707,0.0095,9.5
96Ru,Ru,44,52,96,826.503648,0.0001728,0.1728
97Ru,Ru,44,53,97,834.6151503,0.0027645,2.7645
98Ru,Ru,44,54,98,844.790772,0.0064582,6.4582
99Ru,Ru,44,55,99,852.2626068,0.0003465,0.3465
100Ru,Ru,44,56,100,861.93593,0.00034,0.34
101Ru,Ru,44,57,101,868.737966,0.0004141,0.4141
102Ru,Ru,44,58,102,877.957605,0.0004182,0.4182
103Ru,Ru,44,59,103,884.1896568,0.0004429,0.4429
104Ru,Ru,44,60,104,893.0895792,0.002496,2.496
105Ru,Ru,44,61,105,898.999668,0.002499,2.499
106Ru,Ru,44,62,106,907.4597036,0.0053954,5.3954
107Ru,Ru,44,63,107,913.0703332,0.0086777,8.6777
108Ru,Ru,44,64,108,920.9404836,0.0086832,8.683200000000001
109Ru,Ru,44,65,109,926.088852,0.0089489,8.9489
110Ru,Ru,44,66,110,933.494353,0.008921,8.921
111Ru,Ru,44,67,111,938.2783602,0.0096792,9.6792
112Ru,Ru,44,68,112,945.1952272,0.0095984,9.5984
113Ru,Ru,44,69,113,949.5034841,0.0382844,38.28440000000001
114Ru,Ru,44,70,114,955.9282014,0.0035568,3.5568
115Ru,Ru,44,71,115,959.88361,0.025162,25.162
116Ru,Ru,44,72,116,965.918544,0.0037236,3.7236
117Ru,Ru,44,73,117,969.4108125,0.4331457,433.1457
92Rh,Rh,45,47,92,770.3547412,0.0043792,4.3792
93Rh,Rh,45,48,93,784.4387715,0.0026319,2.6319
94Rh,Rh,45,49,94,796.4059102,0.0033746,3.3746
95Rh,Rh,45,50,95,809.9102165,0.0038855,3.8855
96Rh,Rh,45,51,96,819.328656,0.0100032,10.0032
97Rh,Rh,45,52,97,830.3098053,0.0354632,35.4632
98Rh,Rh,45,53,98,838.9587724,0.011907,11.907
99Rh,Rh,45,54,99,849.4393941,0.0194535,19.4535
100Rh,Rh,45,55,100,857.51732,0.01813,18.13
101Rh,Rh,45,56,101,867.4099372,0.0058378,5.8378
102Rh,Rh,45,57,102,874.8521436,0.0064056,6.4056
103Rh,Rh,45,58,103,884.1718481,0.0022969,2.2969
104Rh,Rh,45,59,104,891.1708104,0.0022984,2.2984
105Rh,Rh,45,60,105,900.1340565,0.002499,2.499
106Rh,Rh,45,61,106,906.7167602,0.0053848,5.3848
107Rh,Rh,45,62,107,915.289128,0.0120482,12.0482
108Rh,Rh,45,63,108,921.5278956,0.0139968,13.9968
109Rh,Rh,45,64,109,929.5673036,0.0040439,4.0439
110Rh,Rh,45,65,110,935.468061,0.017809,17.809
111Rh,Rh,45,66,111,943.0145637,0.0068487,6.8487
112Rh,Rh,45,67,112,948.5130592,0.0440832,44.08320000000001
113Rh,Rh,45,68,113,955.6202645,0.0071303,7.1303
114Rh,Rh,45,69,114,960.6349194,0.0715578,71.5578
115Rh,Rh,45,70,115,967.225187,0.007314,7.314
116Rh,Rh,45,71,116,971.8030268,0.073834,73.834
117Rh,Rh,45,72,117,978.0353622,0.008892,8.892000000000001
118Rh,Rh,45,73,118,982.0967602,0.0242372,24.2372
119Rh,Rh,45,74,119,988.1040407,0.0093177,9.3177
121Rh,Rh,45,76,121,997.6740037,0.6194474,619.4474
92Pd,Pd,46,46,92,761.352394,0.3450276,345.0276
93Pd,Pd,46,47,93,773.6264241,0.3700098,370.0098
94Pd,Pd,46,48,94,788.8182208,0.0042864,4.2864
95Pd,Pd,46,49,95,800.7531665,0.0030305,3.0305
96Pd,Pd,46,50,96,815.0419872,0.0041952,4.1952
97Pd,Pd,46,51,97,824.7357391,0.0048403,4.8403
98Pd,Pd,46,52,98,836.3221902,0.0047432,4.743200000000001
99Pd,Pd,46,53,99,845.2553868,0.0051084,5.1084
100Pd,Pd,46,54,100,856.35652,0.01764,17.64
101Pd,Pd,46,55,101,864.6473044,0.0045854,4.5854
102Pd,Pd,46,56,102,875.1894474,0.0004182,0.4182
103Pd,Pd,46,57,103,882.8147819,0.0008755,0.8755
104Pd,Pd,46,58,104,892.824244,0.0013416,1.3416
105Pd,Pd,46,59,105,899.9183445,0.001134,1.134
106Pd,Pd,46,60,106,909.4793004,0.0011024,1.1024
107Pd,Pd,46,61,107,916.0157222,0.0011984,1.1984
108Pd,Pd,46,62,108,925.2386028,0.0011124,1.1124
109Pd,Pd,46,63,109,931.3921925,0.0011118,1.1118
110Pd,Pd,46,64,110,940.18793,0.000616,0.616
111Pd,Pd,46,65,111,945.9142278,0.0007326,0.7326
112Pd,Pd,46,66,112,954.320696,0.0065408,6.5408
113Pd,Pd,46,67,113,959.6614835,0.0069495,6.9495
114Pd,Pd,46,68,114,967.6326384,0.006954,6.954
115Pd,Pd,46,69,115,972.639433,0.013547,13.547
116Pd,Pd,46,70,116,980.115958,0.007134,7.133999999999999
117Pd,Pd,46,71,117,984.7801431,0.007254,7.254
118Pd,Pd,46,72,118,991.8159246,0.0024898,2.4898
119Pd,Pd,46,73,119,995.9061686,0.0082467,8.246699999999999
120Pd,Pd,46,74,120,1002.849804,0.002292,2.292
121Pd,Pd,46,75,121,1006.8238664,0.0033517,3.3517
122Pd,Pd,46,76,122,1013.329011,0.0195566,19.5566
123Pd,Pd,46,77,123,1017.2139114,0.7894386,789.4386
96Ag,Ag,47,49,96,802.5878688,0.0900864,90.0864
97Ag,Ag,47,50,97,817.0515737,0.0120183,12.0183
98Ag,Ag,47,51,98,827.2852868,0.0329084,32.9084
99Ag,Ag,47,52,99,839.0026656,0.0062667,6.2667
100Ag,Ag,47,53,100,848.49947,0.005,5.0
101Ag,Ag,47,54,101,859.7671965,0.0048379,4.8379
102Ag,Ag,47,55,102,868.75083,0.0081702,8.170200000000001
103Ag,Ag,47,56,103,879.378156,0.0040994,4.099399999999999
104Ag,Ag,47,57,104,887.76324,0.0042224,4.2224
105Ag,Ag,47,58,105,897.788934,0.0045465,4.5465
106Ag,Ag,47,59,106,905.7318082,0.003021,3.021
107Ag,Ag,47,60,107,915.2674284,0.0023861,2.3861
108Ag,Ag,47,61,108,922.5388296,0.0023868,2.3868
109Ag,Ag,47,62,109,931.7227895,0.0012862,1.2862
110Ag,Ag,47,63,110,938.531979,0.001287,1.287
111Ag,Ag,47,64,111,947.3614458,0.0014541,1.4541
112Ag,Ag,47,65,112,953.8010384,0.0024192,2.4192
113Ag,Ag,47,66,113,962.315458,0.0166449,16.6449
114Ag,Ag,47,67,114,968.2907604,0.00456,4.56
115Ag,Ag,47,68,115,976.4138595,0.0182735,18.2735
116Ag,Ag,47,69,116,982.0452468,0.0032596,3.2596
117Ag,Ag,47,70,117,989.7558255,0.013572,13.572
118Ag,Ag,47,71,118,995.19902,0.0025134,2.5134
119Ag,Ag,47,72,119,1002.3622994,0.0147084,14.7084
120Ag,Ag,47,73,120,1007.439372,0.004476,4.476
121Ag,Ag,47,74,121,1014.2620026,0.0121121,12.1121
122Ag,Ag,47,75,122,1019.0366102,0.038186,38.186
123Ag,Ag,47,76,123,1025.5703961,0.0326073,32.6073
124Ag,Ag,47,77,124,1030.3030792,0.2515092,251.5092
125Ag,Ag,47,78,125,1036.6643875,0.43315,433.15
97Cd,Cd,48,49,97,806.0992261,0.4201749,420.1749
98Cd,Cd,48,50,98,821.0729394,0.051793,51.793
99Cd,Cd,48,51,99,831.4389666,0.001584,1.584
100Cd,Cd,48,52,100,843.77375,0.00168,1.68
101Cd,Cd,48,53,101,853.4869357,0.0014948,1.4948
102Cd,Cd,48,54,102,865.3814844,0.0016626,1.6626
103Cd,Cd,48,55,103,874.4447341,0.0018128,1.8128
104Cd,Cd,48,56,104,885.8328128,0.0016744,1.6744
105Cd,Cd,48,57,105,894.269586,0.0013965,1.3965
106Cd,Cd,48,58,106,905.1392152,0.0011024,1.1024
107Cd,Cd,48,59,107,913.0687068,0.0016585,1.6585
108Cd,Cd,48,60,108,923.4021168,0.0011232,1.1232
109Cd,Cd,48,61,109,930.7253414,0.0015369,1.5369
110Cd,Cd,48,62,110,940.640305,0.000385,0.385
