Z,N,A,I,I2A,A23,Am13,Ec,Npair,Zm,vp,Nm,vn,Casten,Esh,Edef,Eth,Eexp,residual,uncertainty
11,10,21,-0.0476190476190476,0.0476190476190476,7.611662611020244,0.3624601243342974,37.11864476723983,1,1.0,3.0,1.0,2.0,1.2,1.0286,1.8945,162.13633281,163.0767201,-0.9403872899999896,4.2e-05
12,9,21,-0.1428571428571428,0.4285714285714285,7.611662611020244,0.3624601243342974,44.62623991983869,1,1.0,4.0,1.0,1.0,0.8,-0.5092,1.4624,149.66846759,149.2056657,0.4628018900000086,0.0007539
8,14,22,0.2727272727272727,1.6363636363636365,7.851424410539689,0.3568829277518041,18.50081097465353,2,1.0,0.0,1.0,6.0,0.0,-5.1638,0.0125,158.37813199,162.0271884,-3.649056409999986,0.0569206
9,13,22,0.1818181818181818,0.7272727272727273,7.851424410539689,0.3568829277518041,23.829867739475016,0,1.0,1.0,1.0,5.0,0.8333333333333334,0.2156,0.7247,166.78988236,167.7344988,-0.9446164400000044,0.0123992
10,12,22,0.0909090909090909,0.1818181818181818,7.851424410539689,0.3568829277518041,29.84479748048283,2,1.0,2.0,1.0,4.0,1.3333333333333333,0.9044,1.9078,176.63284186,177.7702432,-1.1374013399999967,1.76e-05
11,11,22,0.0,0.0,7.851424410539689,0.3568829277518041,36.54749786074123,0,1.0,3.0,1.0,3.0,1.5,1.4875,1.8497,174.18307522,174.1445728,0.0385024200000145,0.000132
12,10,22,-0.0909090909090909,0.1818181818181818,7.851424410539689,0.3568829277518041,43.93957317759341,2,1.0,4.0,1.0,2.0,1.3333333333333333,-0.3211,2.1868,168.04261119,168.580819,-0.5382078099999887,0.0001584
8,15,23,0.3043478260869565,2.130434782608696,8.087579399090064,0.3516338869169593,18.22870069777517,1,1.0,0.0,1.0,5.0,0.0,-6.6812,0.0036,159.51922388,164.7601688,-5.240944920000004,0.1217114
9,14,23,0.217391304347826,1.0869565217391304,8.087579399090064,0.3516338869169593,23.47937759515395,1,1.0,1.0,1.0,6.0,0.8571428571428571,-1.5336,0.2793,173.03821931,175.3139281,-2.27570879000001,0.0333201
10,13,23,0.1304347826086956,0.391304347826087,8.087579399090064,0.3516338869169593,29.405839636044625,1,1.0,2.0,1.0,5.0,1.4285714285714286,0.8368,1.3465,181.90227096,182.9708903,-1.068619339999998,0.0001035
11,12,23,0.0434782608695652,0.0434782608695652,8.087579399090064,0.3516338869169593,36.00995657264731,1,1.0,3.0,1.0,4.0,1.7142857142857142,1.1952,1.9936,185.06469593,186.5643528,-1.4996568699999957,4.6e-06
12,11,23,-0.0434782608695652,0.0434782608695652,8.087579399090064,0.3516338869169593,43.29330910626961,1,1.0,4.0,1.0,3.0,1.7142857142857142,0.3395,2.1454,180.6160598,181.7258267,-1.109766900000011,3.22e-05
13,10,23,-0.1304347826086956,0.391304347826087,8.087579399090064,0.3516338869169593,51.25725440678919,1,1.0,5.0,1.0,2.0,1.4285714285714286,-0.6602,1.6422,168.50118423,168.7217325,-0.2205482699999947,0.000345
8,16,24,0.3333333333333333,2.6666666666666665,8.320335292207616,0.3466806371753174,17.971924231168455,2,1.0,0.0,1.0,4.0,0.0,-8.9953,0.007,163.80161426,168.952452,-5.150837739999986,0.1648752
9,15,24,0.25,1.5,8.320335292207616,0.3466806371753174,23.14863808074937,0,1.0,1.0,1.0,5.0,0.8333333333333334,-2.3762,0.2169,176.21863969,179.1259944,-2.907354709999993,0.0976704
10,14,24,0.1666666666666666,0.6666666666666666,8.320335292207616,0.3466806371753174,28.991617705225995,2,1.0,2.0,1.0,6.0,1.5,-0.2903,0.7804,190.26366934,191.8398048,-1.576135459999989,0.0005136
11,13,24,0.0833333333333333,0.1666666666666666,8.320335292207616,0.3466806371753174,35.50270651875211,0,1.0,3.0,1.0,5.0,1.875,1.3825,1.4119,192.41947988,193.5237168,-1.1042369199999769,1.68e-05
12,12,24,0.0,0.0,8.320335292207616,0.3466806371753174,42.68346295627071,2,1.0,4.0,1.0,4.0,2.0,0.7951,1.6757,196.09536697,198.2570472,-2.1616802300000018,1.44e-05
13,11,24,-0.0833333333333333,0.1666666666666666,8.320335292207616,0.3466806371753174,50.53522507004423,0,1.0,5.0,1.0,3.0,1.875,0.2749,1.6375,183.16480964,183.5899344,-0.425124760000017,0.000228
14,10,24,-0.1666666666666666,0.6666666666666666,8.320335292207616,0.3466806371753174,59.05915654835833,2,1.0,6.0,1.0,2.0,1.5,-1.968,1.0459,171.75281405,172.0135896,-0.2607755499999769,0.0194712
8,17,25,0.36,3.24,8.549879733383484,0.3419951893353394,17.729030615143994,1,1.0,0.0,1.0,3.0,0.0,-7.736,0.1017,163.74838187,168.195145,-4.446763129999994,0.165085
9,16,25,0.28,1.96,8.549879733383484,0.3419951893353394,22.835780295620086,1,1.0,1.0,1.0,4.0,0.8,-4.0889,0.2182,180.93102128,183.4076625,-2.4766412199999763,0.0964425
10,15,25,0.2,1.0,8.549879733383484,0.3419951893353394,28.599791055600548,1,1.0,2.0,1.0,5.0,1.4285714285714286,-0.6502,0.6684,193.9030329,195.994985,-2.0919521000000145,0.029045
